"specialist_id","domain","n_rows","n_strong_win","n_strong_point_signal","n_pareto_signal","n_equal_weight_gain","n_no_win","pass_rate","median_q95_gain","best_dataset"
"TAX-Q1R016","rdatasets_psych",4,0,0,0,4,0,0,-0.874551460099809,"RD_psych_bfi_auto__depth_upper_tail_enriched"
"TAX-Q1R017","biomedical_signal",4,0,0,0,4,0,0,-0.0244807561362869,"UCI_parkinsons_HNR"
"TAX-Q1R017","education_scores",12,0,0,0,6,6,0,-0.0776052509626382,"UCI_student_math_G3__depth_body_10_90"
"TAX-Q1R017","engineering_efficiency",4,0,0,0,4,0,0,-0.0939691890319317,"UCI_auto_mpg"
"TAX-Q1R017","rdatasets_agridat",4,0,0,0,4,0,0,-2547.23841784449,"RD_agridat_lee.potatoblight_auto"
"TAX-Q1R017","rdatasets_alone",16,1,3,1,11,0,0.25,-0.00872706444672592,"RD_alone_loadouts_auto__depth_bootstrap_full"
"TAX-Q1R017","rdatasets_archdata",4,0,0,0,4,0,0,-0.097589097484679,"RD_archdata_Handaxes_auto__depth_body_10_90"
"TAX-Q1R017","rdatasets_asaur",8,0,0,0,8,0,0,-4.16055032396557,"RD_asaur_prostateSurvival_auto__depth_upper_tail_enriched"
"TAX-Q1R017","rdatasets_bakeoff",12,0,0,0,12,0,0,-0.0145941067451488,"RD_bakeoff_challenges_data__auto__depth_body_10_90"
"TAX-Q1R017","rdatasets_betareg",4,0,1,0,3,0,0.25,-0.000970498554691813,"RD_betareg_LossAversion_auto"
"TAX-Q1R017","rdatasets_boot",12,0,0,0,10,2,0,-0.0714524742047091,"RD_boot_amis_auto__depth_upper_tail_enriched"
"TAX-Q1R017","rdatasets_causaldata",4,0,0,0,4,0,0,-0.519754713506668,"RD_causaldata_mortgages_auto"
"TAX-Q1R017","rdatasets_cluster",4,0,0,0,4,0,0,-0.437472067517712,"RD_cluster_xclara_auto"
"TAX-Q1R017","rdatasets_dragracer",12,0,0,0,12,0,0,-0.000675830496931602,"RD_dragracer_rpdr_contep_auto__depth_bootstrap_full"
"TAX-Q1R017","rdatasets_educationR",4,0,0,0,4,0,0,-8.17767069823923e-05,"RD_educationR_major_survey_tbl_df_auto"
"TAX-Q1R017","rdatasets_forecast",4,0,0,0,4,0,0,-17276.2034189115,"RD_forecast_taylor_auto"
"TAX-Q1R017","rdatasets_fpp2",12,1,2,2,7,0,0.25,-1.97497731691037,"RD_fpp2_calls_auto__depth_bootstrap_full"
"TAX-Q1R017","rdatasets_gt",12,8,0,0,4,0,0.666666666666667,0.0923980824922919,"RD_gt_pizzaplace_auto__depth_bootstrap_full"
"TAX-Q1R017","rdatasets_HistData",12,0,0,0,9,3,0,-0.0451391591859669,"RD_HistData_Pollen_auto__depth_body_10_90"
"TAX-Q1R017","rdatasets_ISLR",12,1,0,0,10,1,0.0833333333333333,-193.349172854997,"RD_ISLR_Default_auto__depth_upper_tail_enriched"
"TAX-Q1R017","rdatasets_OncoDataSets",8,0,0,0,8,0,0,-3.91286793114841,"RD_OncoDataSets_ProstateSurvival_df_auto__depth_upper_tail_enriched"
"TAX-Q1R017","rdatasets_psych",4,0,0,0,4,0,0,-0.915266357992049,"RD_psych_bfi_auto__depth_upper_tail_enriched"
"TAX-Q1R018","rdatasets_admiral",6,6,0,0,0,0,1,0.000389387852926873,"RD_admiral_admiral_adlb_auto__depth_body_10_90"
"TAX-Q1R018","rdatasets_archdata",12,2,0,0,10,0,0.166666666666667,-0.232969633859276,"RD_archdata_Handaxes_auto__depth_bootstrap_full"
"TAX-Q1R018","rdatasets_asaur",12,6,0,0,3,3,0.5,-1.84798189156835,"RD_asaur_prostateSurvival_auto"
"TAX-Q1R018","rdatasets_OncoDataSets",12,6,0,0,3,3,0.5,-2.49625021094838,"RD_OncoDataSets_ProstateSurvival_df_auto"
"TAX-Q1R018","rdatasets_psych",18,8,0,0,10,0,0.444444444444444,-0.641155889971734,"RD_psych_bfi_auto__depth_bootstrap_full"
"TAX-Q1R019","rdatasets_admiral",39,39,0,0,0,0,1,0.000375537218232296,"RD_admiral_admiral_adlb_auto__depth_body_10_90"
"TAX-Q1R019","rdatasets_archdata",78,13,0,0,65,0,0.166666666666667,-0.886411198754108,"RD_archdata_Handaxes_auto__depth_bootstrap_full"
"TAX-Q1R019","rdatasets_asaur",46,43,0,0,0,3,0.934782608695652,21.4198486822884,"RD_asaur_prostateSurvival_auto__depth_bootstrap_full"
"TAX-Q1R019","rdatasets_OncoDataSets",46,43,0,0,0,3,0.934782608695652,22.1474839086043,"RD_OncoDataSets_ProstateSurvival_df_auto__depth_bootstrap_full"
"TAX-Q1R019","rdatasets_psych",94,50,0,0,16,28,0.531914893617021,0.280427398517778,"RD_psych_bfi_auto__depth_bootstrap_full"
"TAX-Q1R023","biomedical_signal",9,0,0,0,9,0,0,-0.0649871977555752,"UCI_parkinsons_HNR"
"TAX-Q1R023","education_scores",27,0,1,0,17,9,0.037037037037037,-0.203269250592035,"UCI_student_math_G3__depth_upper_tail_enriched"
