family,param_row,label,n_finite,mean,variance,skewness,excess_kurtosis,param_mean,param_sd,param_meanlog,param_sdlog,param_shape,param_scale,param_mu,param_sigma,param_tau,param_lambda,param_rate
normal,1,normal_row1_mean=1_sd=1,5000,0.9891831424137948,0.987921110272005,-0.03793113729144112,-0.044144666951067446,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
normal,2,normal_row2_mean=5_sd=1,5000,4.998355731706595,1.0288608296782642,0.01832044877325359,0.030375137825625842,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
normal,3,normal_row3_mean=1_sd=1.414,5000,0.9798291680028566,2.047776771279205,-0.0602730244878577,-0.05472985291054622,1,1.4142135623730951,NA,NA,NA,NA,NA,NA,NA,NA,NA
normal,4,normal_row4_mean=5_sd=1.414,5000,5.0168927842582445,2.008198758081341,-0.033086140032158234,-0.02457820159995938,5,1.4142135623730951,NA,NA,NA,NA,NA,NA,NA,NA,NA
normal,5,normal_row5_mean=1_sd=2,5000,0.9593405887774655,4.23729408262646,0.04411912344897147,-0.06254630384724758,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
normal,6,normal_row6_mean=5_sd=2,5000,5.022251197950666,4.0052236958528376,-0.003183012171065825,-0.1593246087338449,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
normal,7,normal_row7_mean=1_sd=3,5000,1.0002492514018844,8.820985467775824,-0.023798147820854126,0.010277102922275017,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
normal,8,normal_row8_mean=5_sd=3,5000,5.006719015101082,8.892596891984386,0.004561813491477393,-0.09386259237974581,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
lognormal,1,lognormal_row1_meanlog=0.5_sdlog=0.25,5000,1.6956362372312115,0.18101838229364467,0.7004762393917967,0.743990485218271,NA,NA,0.5,0.25,NA,NA,NA,NA,NA,NA,NA
lognormal,2,lognormal_row2_meanlog=1_sdlog=0.25,5000,2.8060852182662215,0.5262924083568581,0.834300931191932,1.3613824024646028,NA,NA,1,0.25,NA,NA,NA,NA,NA,NA,NA
lognormal,3,lognormal_row3_meanlog=0.5_sdlog=0.5,5000,1.8577005980245451,0.9579520535894198,1.4757591060349922,3.3691480386935524,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
lognormal,4,lognormal_row4_meanlog=1_sdlog=0.5,5000,3.0979501876299613,2.689802533773349,1.7098937165907306,5.613785658656212,NA,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA
lognormal,5,lognormal_row5_meanlog=0.5_sdlog=1,5000,2.7547740625513395,13.557484729684745,4.626735399529705,37.42214259834656,NA,NA,0.5,1,NA,NA,NA,NA,NA,NA,NA
lognormal,6,lognormal_row6_meanlog=1_sdlog=1,5000,4.501767968989613,30.535138368019343,4.510647120585241,41.76269293561544,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
weibull,1,weibull_row1_shape=0.5_scale=0.5,5000,1.0151332099336778,5.224698668913416,6.722845463728734,86.15390376017747,NA,NA,NA,NA,0.5,0.5,NA,NA,NA,NA,NA
weibull,2,weibull_row2_shape=1_scale=0.5,5000,0.49890836184236576,0.2593313108363032,2.072002916704572,6.0641565754571225,NA,NA,NA,NA,1,0.5,NA,NA,NA,NA,NA
weibull,3,weibull_row3_shape=2_scale=0.5,5000,0.44247360507079037,0.05465318361676621,0.6275079056466201,0.16297359303310222,NA,NA,NA,NA,2,0.5,NA,NA,NA,NA,NA
weibull,4,weibull_row4_shape=3_scale=0.5,5000,0.44602065113578815,0.026078919170942662,0.1673834598011335,-0.28186519285741296,NA,NA,NA,NA,3,0.5,NA,NA,NA,NA,NA
weibull,5,weibull_row5_shape=0.5_scale=1,5000,2.0520465965156043,21.344396205921154,5.530058307544334,45.19432889024462,NA,NA,NA,NA,0.5,1,NA,NA,NA,NA,NA
weibull,6,weibull_row6_shape=1_scale=1,5000,1.0248631167359983,1.0828324283307156,2.1315656372584106,7.099566766731424,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
weibull,7,weibull_row7_shape=2_scale=1,5000,0.8737016851162661,0.20890211095338057,0.6103901888828179,0.18721735204352008,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA
weibull,8,weibull_row8_shape=3_scale=1,5000,0.9015242685559484,0.1059193593496487,0.14238198985155873,-0.34799788692285505,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA
weibull,9,weibull_row9_shape=0.5_scale=2,5000,4.143680779872872,81.29182100878674,5.423810498456987,47.61408785956914,NA,NA,NA,NA,0.5,2,NA,NA,NA,NA,NA
weibull,10,weibull_row10_shape=1_scale=2,5000,2.0529501647110395,4.336917969290253,2.008987111212702,5.733092611973518,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
weibull,11,weibull_row11_shape=2_scale=2,5000,1.7745427017544693,0.8678711413802569,0.5927663675193889,0.08661071005275733,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
weibull,12,weibull_row12_shape=3_scale=2,5000,1.7838708702927666,0.41925779838717336,0.1625280597607712,-0.22021138967543408,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA
invgauss,1,invgauss_row1_mean=0.5_shape=0.5,5000,0.508124538646387,0.24820173563326467,2.692941630017388,10.884804253692291,0.5,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
invgauss,2,invgauss_row2_mean=1_shape=0.5,5000,0.9675883619524994,1.747134321793767,3.7751231658213755,21.73176365033758,1,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
invgauss,3,invgauss_row3_mean=2_shape=0.5,5000,2.034125835287592,16.19270979860819,5.24509535920509,39.228289579180235,2,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
invgauss,4,invgauss_row4_mean=0.5_shape=1,5000,0.4949209106120987,0.12396122435738215,1.9803867677901945,6.110039972242912,0.5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
invgauss,5,invgauss_row5_mean=1_shape=1,5000,0.9997657561493211,0.949601098315834,2.8400893705876635,12.62480641870018,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
invgauss,6,invgauss_row6_mean=2_shape=1,5000,2.0446350236875603,8.041170878971025,3.8105744769011904,21.13036005674109,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
invgauss,7,invgauss_row7_mean=0.5_shape=2,5000,0.49951380463585543,0.06359509570545052,1.4720924982899573,3.5200061316064986,0.5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
invgauss,8,invgauss_row8_mean=1_shape=2,5000,0.9932514242291693,0.5103957154078027,2.3922553968888036,10.944240434690004,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
invgauss,9,invgauss_row9_mean=2_shape=2,5000,2.020879602260715,4.163356952195362,3.2366540485400823,18.18786846557973,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
exgaussian,1,exgaussian_row1_mu=0_sigma=0.5_tau=0.25,5000,0.24086432609128072,0.30368024024931406,0.12952068606154862,0.24111726685922985,NA,NA,NA,NA,NA,NA,0,0.5,0.25,NA,NA
exgaussian,2,exgaussian_row2_mu=1_sigma=0.5_tau=0.25,5000,1.244275555072226,0.31774264845165495,0.13477975533887507,0.26802384005565605,NA,NA,NA,NA,NA,NA,1,0.5,0.25,NA,NA
exgaussian,3,exgaussian_row3_mu=2_sigma=0.5_tau=0.25,5000,2.2392398653778764,0.3207312143421365,0.2285868918051684,0.16246681649599104,NA,NA,NA,NA,NA,NA,2,0.5,0.25,NA,NA
exgaussian,4,exgaussian_row4_mu=0_sigma=1_tau=0.25,5000,0.2637535868707752,1.0485691981737748,-0.012159948724675991,0.09247557887164426,NA,NA,NA,NA,NA,NA,0,1,0.25,NA,NA
exgaussian,5,exgaussian_row5_mu=1_sigma=1_tau=0.25,5000,1.2601342465785474,1.0846928462780374,-0.012629893084810431,0.033627727303980226,NA,NA,NA,NA,NA,NA,1,1,0.25,NA,NA
exgaussian,6,exgaussian_row6_mu=2_sigma=1_tau=0.25,5000,2.2477498668148117,1.082953261743705,0.03424169338131542,-0.024700580749887013,NA,NA,NA,NA,NA,NA,2,1,0.25,NA,NA
exgaussian,7,exgaussian_row7_mu=0_sigma=1.5_tau=0.25,5000,0.23910947264680607,2.265838326977867,0.010073661102505703,-0.010542986806735488,NA,NA,NA,NA,NA,NA,0,1.5,0.25,NA,NA
exgaussian,8,exgaussian_row8_mu=1_sigma=1.5_tau=0.25,5000,1.256061090225769,2.417115392369213,0.03367127016033087,0.020037716699568442,NA,NA,NA,NA,NA,NA,1,1.5,0.25,NA,NA
